[2025-05-19T18:14:44.562+0000][0.008s][1668][1771][info] Heap region size: 16M
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.security.SecureClassLoader archived mirror 0x00000007bef33400
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.ReflectiveOperationException archived mirror 0x00000007bef33388
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.ClassNotFoundException archived mirror 0x00000007bef33310
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.LinkageError archived mirror 0x00000007bef33298
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.NoClassDefFoundError archived mirror 0x00000007bef33220
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.ClassCastException archived mirror 0x00000007bef331a8
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.ArrayStoreException archived mirror 0x00000007bef33130
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.VirtualMachineError archived mirror 0x00000007bef2f5c8
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored [Ljava.lang.VirtualMachineError; archived mirror 0x00000007bef2f558
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.OutOfMemoryError archived mirror 0x00000007bef2f4e0
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored [Ljava.lang.OutOfMemoryError; archived mirror 0x00000007bef2f470
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.StackOverflowError archived mirror 0x00000007bef330b8
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.IllegalMonitorStateException archived mirror 0x00000007bef33040
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.ref.Reference archived mirror 0x00000007bef26568
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored [Ljava.lang.ref.Reference; archived mirror 0x00000007bef264f8
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.ref.SoftReference archived mirror 0x00000007bef32fb0
[2025-05-19T18:14:51.238+0000][6.684s][1668][1771][trace] Restored java.lang.ref.WeakReference archived mirror 0x00000007bef26488
[2025-05-19T18:14:51.239+0000][6.685s][1668][1771][trace] Restored [Ljava.lang.ref.WeakReference; archived mirror 0x00000007bef26418
[2025-05-19T18:14:51.239+0000][6.686s][1668][1771][trace] Restored java.lang.ref.FinalReference archived mirror 0x00000007bef32f28
[2025-05-19T18:14:51.239+0000][6.686s][1668][1771][trace] Restored java.lang.ref.PhantomReference archived mirror 0x00000007bef32eb8
[2025-05-19T18:14:51.239+0000][6.686s][1668][1771][trace] Restored java.lang.ref.Finalizer archived mirror 0x00000007bef32e38
[2025-05-19T18:14:51.239+0000][6.686s][1668][1771][trace] Restored java.lang.Runnable archived mirror 0x00000007bef2d868
[2025-05-19T18:14:51.239+0000][6.686s][1668][1771][trace] Restored [Ljava.lang.Runnable; archived mirror 0x00000007bef2d7f8
[2025-05-19T18:14:51.239+0000][6.686s][1668][1771][trace] Restored java.lang.Thread archived mirror 0x00000007bef2d768
[2025-05-19T18:14:51.240+0000][6.686s][1668][1771][trace] Restored [Ljava.lang.Thread; archived mirror 0x00000007bef2d6f8
[2025-05-19T18:14:51.240+0000][6.686s][1668][1771][trace] Restored java.lang.Thread$UncaughtExceptionHandler archived mirror 0x00000007bef2f050
[2025-05-19T18:14:51.240+0000][6.686s][1668][1771][trace] Restored [Ljava.lang.Thread$UncaughtExceptionHandler; archived mirror 0x00000007bef2efe0
[2025-05-19T18:14:51.240+0000][6.686s][1668][1771][trace] Restored java.lang.ThreadGroup archived mirror 0x00000007bef2ef70
